case_id,question,reference_answer,answer,citation_filenames,citation_chunk_ids,model,model_latency_ms,retrieval_latency_ms,outcome,review_status,review_method,answer_verdict,citation_verdict,refusal_verdict,reviewer_alias,reviewed_at_utc,notes
query-03,为何查询字符串里的数字需要在函数签名中声明类型？,URL 中原始值是字符串，类型注解让 FastAPI 转换并验证。,为了启用FastAPI自动将查询字符串值转换为所需的类型（例如int、float、bool）并进行验证。,02-query-params.md; 03-request-body.md,7c09b2fc-e8ac-4bf4-a90c-f2c03b633d6d; 90e2c64a-67c5-458b-8479-0e0883e6dbd1,deepseek-v4-flash,3950,1338.786,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:11:26.720Z,
query-04,怎样把一个可不传的搜索词设计成缺省时为 None？,声明联合可空类型并给参数默认值 None。,设置参数的默认值为 None，并使用 `Optional[str]` 或 `str | None` 类型注解即可。,03-request-body.md; 03-request-body.md,90e2c64a-67c5-458b-8479-0e0883e6dbd1; 2675cecc-9517-4f62-bde0-77d3f5d7855b,deepseek-v4-flash,3455,1196.192,answered,approved,human,pass,fail,not_applicable,reviewer-cen,2026-07-15T07:11:45.140Z,
query-05,同一处理函数里，框架如何区分 item_id 是路径参数而 q 是查询参数？,出现在路由路径模板中的同名参数是路径参数，其余普通参数会被解释为查询参数。,FastAPI distinguishes by checking if the parameter name matches a path parameter defined in the route. Parameters that are not part of the path are automatically interpreted as query parameters.,02-query-params.md; 02-query-params.md,1e6b886f-53f4-4cfe-bdf0-21fb526f89f2; dca9320e-c1da-4cac-8dea-52760c2d7def,deepseek-v4-flash,5847,1303.245,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:13:45.634Z,
query-06,布尔查询参数 short=on 会被解析成什么布尔结果？,会被识别为 True。,True,02-query-params.md,7c09b2fc-e8ac-4bf4-a90c-f2c03b633d6d,deepseek-v4-flash,1983,1266.431,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:14:00.700Z,
query-07,一个字符串查询参数没有默认值时，客户端遗漏它会怎样？,它会被视为必填参数，缺失时返回验证错误。,我无法根据当前检索到的资料生成带有效引用的回答。,,,retrieval-guard,0,1334.962,retrieval_guard_invalid_citation,approved,human,not_applicable,not_applicable,fail,reviewer-cen,2026-07-15T07:14:05.184Z,
query-08,为什么不能仅靠 str | None 判断查询参数是否可选？,是否必填由默认值决定；没有默认值仍是必填。,FastAPI判断查询参数是否可选依赖于是否设置了默认值（如`= None`），而不是类型注解`str | None`。类型注解仅用于编辑器和类型检查，不影响参数是否必选。,03-request-body.md; 02-query-params.md,90e2c64a-67c5-458b-8479-0e0883e6dbd1; e94638fe-ce60-4339-b7c9-8e9fec8d25c9,deepseek-v4-flash,5181,1172.216,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:15:08.351Z,
body-01,提交商品信息时，推荐用什么 Pydantic 基类描述 JSON 结构？,使用 Pydantic 的 BaseModel 定义请求体模型。,我无法根据当前检索到的资料生成带有效引用的回答。,,,retrieval-guard,0,1303.742,retrieval_guard_invalid_citation,approved,human,not_applicable,not_applicable,fail,reviewer-cen,2026-07-15T07:15:11.434Z,
body-02,请求体模型声明字段后，FastAPI 能自动提供哪些能力？,可解析输入、验证数据、生成 OpenAPI/交互文档并提供编辑器支持。,当在请求体模型中声明字段后，FastAPI 能够自动将函数参数中声明为 Pydantic 模型的参数从请求体获取数据，并且能够同时处理路径参数和查询参数，自动识别每个参数的来源。,03-request-body.md,83b489c6-6548-4f46-8b65-8f2a236d4bf0,deepseek-v4-flash,8343,1328.621,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:15:18.518Z,
body-03,在处理函数里想把 Pydantic 商品对象转成字典，示例使用什么方法？,使用 model_dump()。,我无法根据当前检索到的资料生成带有效引用的回答。,,,retrieval-guard,0,1282.1,retrieval_guard_invalid_citation,approved,human,not_applicable,not_applicable,fail,reviewer-cen,2026-07-15T07:15:22.335Z,
body-04,更新 /items/{item_id} 时，路径编号和商品 JSON 能否在一个函数签名中同时声明？,可以，路径参数和 Pydantic 请求体参数可同时使用。,我无法根据当前检索到的资料生成带有效引用的回答。,,,retrieval-guard,0,1379.98,retrieval_guard_invalid_citation,approved,human,not_applicable,not_applicable,fail,reviewer-cen,2026-07-15T07:15:25.218Z,
body-05,一个参数既不在路径模板中、又是简单的 str 或 int，FastAPI 默认从哪里取它？,默认把它解释为查询参数。,query,03-request-body.md,90e2c64a-67c5-458b-8479-0e0883e6dbd1,deepseek-v4-flash,3356,1353.943,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:15:33.768Z,
body-06,同一个 PUT 接口同时有路径、查询和模型参数时，框架如何判定模型参数的来源？,Pydantic 模型类型的参数会被解释为请求体。,FastAPI 将路径参数从路径中获取，查询参数从查询字符串中获取，而 Pydantic 模型参数则从请求体中获取。,03-request-body.md,83b489c6-6548-4f46-8b65-8f2a236d4bf0,deepseek-v4-flash,3501,1325.026,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:15:50.718Z,
body-07,请求体字段给了默认值后，调用方遗漏这个字段通常有什么效果？,字段成为可选并使用声明的默认值。,"If a request body field has a default value and the caller omits it, the field will be assigned its default value.",03-request-body.md; 03-request-body.md,90e2c64a-67c5-458b-8479-0e0883e6dbd1; 2675cecc-9517-4f62-bde0-77d3f5d7855b,deepseek-v4-flash,4525,1393.246,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:15:59.768Z,
body-08,不使用 Pydantic 时，FastAPI 是否仍可声明单个请求体字段？,可以，但模型通常更适合定义复杂结构和获得完整支持。,"No, FastAPI requires Pydantic's BaseModel to declare request body fields. Without Pydantic, singular type parameters are interpreted as query parameters.",03-request-body.md; 03-request-body.md,90e2c64a-67c5-458b-8479-0e0883e6dbd1; bff932fb-f3b6-440c-83c4-850068b9746e,deepseek-v4-flash,5307,1301.868,answered,approved,human,fail,pass,not_applicable,reviewer-cen,2026-07-15T07:16:19.569Z,
deps-01,在多个接口都要解析相同公共查询条件时，FastAPI 建议用什么机制复用？,把公共逻辑声明为依赖并通过 Depends 注入。,我无法根据当前检索到的资料生成带有效引用的回答。,,,retrieval-guard,0,1342.871,retrieval_guard_invalid_citation,approved,human,not_applicable,not_applicable,fail,reviewer-cen,2026-07-15T07:17:10.270Z,
deps-02,依赖函数可以接收查询参数吗，框架会如何处理它们？,可以，FastAPI 会像处理路径操作参数一样解析和验证依赖的参数。,我无法根据当前检索到的资料生成带有效引用的回答。,,,retrieval-guard,0,1236.436,retrieval_guard_invalid_citation,approved,human,not_applicable,not_applicable,fail,reviewer-cen,2026-07-15T07:17:14.586Z,
deps-03,在路径操作函数签名中怎样标记一个参数由依赖提供？,导入并使用 Depends。,我无法根据当前检索到的资料生成带有效引用的回答。,,,retrieval-guard,0,1216.217,retrieval_guard_invalid_citation,approved,human,not_applicable,not_applicable,fail,reviewer-cen,2026-07-15T07:17:20.768Z,
deps-04,为什么文档建议用 Annotated 形式给共享依赖起类型别名？,它能减少重复声明，同时保留类型信息和依赖元数据。,我无法根据当前检索到的资料生成带有效引用的回答。,,,retrieval-guard,0,1267.585,retrieval_guard_invalid_citation,approved,human,not_applicable,not_applicable,fail,reviewer-cen,2026-07-15T07:17:24.069Z,
deps-05,依赖函数必须全部写成 async def 吗？,不是，普通 def 和 async def 都可作为依赖。,不需要。依赖函数可以使用 async def 或普通 def，FastAPI 会自动处理。,04-dependencies.md; 04-dependencies.md,d4223451-00e6-45ae-b6e2-ce62956af486; 8732815d-e96f-46d0-a15c-e78afa1846bb,deepseek-v4-flash,2654,1135.308,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:17:34.236Z,
deps-06,依赖中声明的参数会不会出现在自动生成的 OpenAPI 文档中？,会，依赖与 OpenAPI 集成。,是的，依赖中声明的参数会出现在自动生成的 OpenAPI 文档中。,04-dependencies.md; 04-dependencies.md; 04-dependencies.md,d4223451-00e6-45ae-b6e2-ce62956af486; 1fc662c6-f83a-4626-9eb3-25a1cff8a494; 7a774e0b-d4bf-401c-bd50-c7a4ee49d5ff,deepseek-v4-flash,3353,1251.807,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:17:49.370Z,
deps-07,依赖注入对插件或共享组件有什么实际价值？,它让可复用组件可在多个路径操作中组合，而无需手工重复调用逻辑。,依赖注入使得无需专门创建插件即可实现无限集成和交互，简化了插件和共享组件的开发与使用。,04-dependencies.md,8bfd8135-b662-440f-b12b-4a2981459bf0,deepseek-v4-flash,3758,1184.228,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:17:59.119Z,
deps-08,把认证校验放进依赖而非每个接口函数的直接好处是什么？,可复用并统一参数验证、文档和调用顺序。,让交互式API文档自动包含认证校验的信息，无需在每个接口函数中重复声明。,04-dependencies.md,1fc662c6-f83a-4626-9eb3-25a1cff8a494,deepseek-v4-flash,7546,1289.086,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:18:21.336Z,
response-01,接口返回类型注解与 response_model 同时存在时，哪个配置决定实际响应模型？,response_model 的优先级更高。,response_model 决定实际响应模型,05-response-model.md; 05-response-model.md; 05-response-model.md,a5dedc4f-fae6-44d5-8d5b-a721f770f17d; a35d0b70-44ed-41d9-a645-a4eebc71c146; 3eb0a710-3605-4ea5-b73f-4bb67148db3b,deepseek-v4-flash,5310,1276.226,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:18:41.686Z,
response-02,为什么创建用户接口常常要单独定义输出模型？,输出模型可过滤掉密码等不应返回给客户端的字段。,为了在返回用户数据时不包含密码等敏感信息，确保数据安全。,05-response-model.md; 05-response-model.md,c59baa2c-ea56-4843-ae81-7dcb077a8faa; fbdd95ff-96bf-447c-bca6-4b9c530d1aea,deepseek-v4-flash,2504,1088.277,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:19:00.220Z,
response-03,response_model 除了文档展示外，还会在返回数据上做什么？,它会验证、转换并过滤输出数据。,将输出数据进行类型转换和过滤，仅保留响应模型中声明的字段。,05-response-model.md; 05-response-model.md; 05-response-model.md,c39ed5df-80c9-4ff4-97ab-b484e9ce2e51; a35d0b70-44ed-41d9-a645-a4eebc71c146; a5dedc4f-fae6-44d5-8d5b-a721f770f17d,deepseek-v4-flash,2484,1258.854,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:19:40.920Z,
response-04,直接返回一个 Response 对象时，FastAPI 还会按 response_model 校验它吗？,直接返回 Response 时不会再执行 response_model 的数据校验和过滤。,不校验,05-response-model.md,09aec250-a23d-4d2e-9f5e-832e74000b15,deepseek-v4-flash,3457,1323.367,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:19:58.321Z,
response-05,函数返回类型复杂到无法表达时，怎样关闭自动响应模型生成？,可以设置 response_model=None。,使用 `response_model=None` 来关闭自动响应模型生成。,05-response-model.md,3eb0a710-3605-4ea5-b73f-4bb67148db3b,deepseek-v4-flash,2404,1369.953,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:20:06.671Z,
response-06,只想返回客户端设置过的字段而不带默认值，响应模型应启用什么选项？,使用 response_model_exclude_unset。,,,,,,1327.258,provider_error,approved,human,not_applicable,not_applicable,not_applicable,reviewer-cen,2026-07-15T07:26:08.241Z,Excluded: provider or retrieval error; no answer to review.
response-07,response_model_include 和 response_model_exclude 的集合参数通常应优先用什么类型？,文档建议使用 set；list 也可用但语义上集合更合适。,,,,,,1373.815,provider_error,approved,human,not_applicable,not_applicable,not_applicable,reviewer-cen,2026-07-15T07:26:08.241Z,Excluded: provider or retrieval error; no answer to review.
response-08,为何要把数据库内部模型和对外返回模型分开？,可限制暴露字段并让外部 API 契约独立于内部存储。,为了过滤返回数据，避免暴露内部字段，并提供清晰的API契约。,05-response-model.md; 05-response-model.md,fbdd95ff-96bf-447c-bca6-4b9c530d1aea; 121d14ac-5d5a-4323-b98d-4c7ce00a877f,deepseek-v4-flash,6677,1072.387,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:20:19.204Z,
errors-01,业务条件不满足时，FastAPI 推荐返回错误对象还是抛出 HTTPException？,推荐抛出 HTTPException。,抛出 HTTPException,06-handling-errors.md; 06-handling-errors.md; 06-handling-errors.md; 06-handling-errors.md; 06-handling-errors.md,56e5f525-42f3-46ee-9930-1d3b4ed0eac7; 7e964461-e085-41e2-a4e4-5f4becf8d17b; 764139df-801a-4cfd-bd1d-f9c199f515cd; dec8f75d-42d9-453b-878b-35ce2b221a5f; c51dffad-9200-490e-9cb7-0307f6da3034,deepseek-v4-flash,3516,1288.804,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:20:27.104Z,
errors-02,HTTPException 的 detail 只能是一段字符串吗？,不是，detail 可以是可 JSON 序列化的数据。,不是，FastAPI 的 HTTPException 的 detail 可以是任何 JSON 可序列化的数据，如 dict、list 等，而不仅仅是字符串。,06-handling-errors.md; 06-handling-errors.md,764139df-801a-4cfd-bd1d-f9c199f515cd; 594230bd-84f9-42b0-8321-024bf8cc5889,deepseek-v4-flash,3592,1329.505,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:20:37.122Z,
errors-03,需要在错误响应里附带自定义头时，应在哪个异常参数中指定？,在 HTTPException 的 headers 参数中指定。,我无法根据当前检索到的资料生成带有效引用的回答。,,,retrieval-guard,0,1266.19,retrieval_guard_invalid_citation,approved,human,not_applicable,not_applicable,fail,reviewer-cen,2026-07-15T07:20:40.222Z,
errors-04,想把自定义业务异常转换为统一 HTTP 响应，应注册什么？,注册自定义异常处理器。,我无法根据当前检索到的资料生成带有效引用的回答。,,,retrieval-guard,0,1237.791,retrieval_guard_invalid_citation,approved,human,not_applicable,not_applicable,fail,reviewer-cen,2026-07-15T07:20:43.522Z,
errors-05,覆盖请求参数校验失败的默认返回格式，需要处理哪种异常？,处理 RequestValidationError。,RequestValidationError,06-handling-errors.md,3cecfab5-4f67-4414-b81c-96a22b3cee9b,deepseek-v4-flash,1855,1268.49,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:20:51.671Z,
errors-06,服务端响应数据本身无效时，为什么不应把内部验证错误直接原样返回给客户端？,这通常表示服务端 bug，直接暴露可能泄露内部细节。,我无法根据当前检索到的资料生成带有效引用的回答。,,,retrieval-guard,0,1369.859,retrieval_guard_invalid_citation,approved,human,not_applicable,not_applicable,fail,reviewer-cen,2026-07-15T07:20:58.554Z,
errors-07,FastAPI 的 HTTPException 和 Starlette 的 HTTPException 在异常处理器中该优先考虑哪一个？,处理器通常应针对 Starlette 的 HTTPException，以覆盖 Starlette 产生的错误。,应该优先考虑 Starlette 的 HTTPException，因为它可以同时处理 FastAPI 和 Starlette 抛出的 HTTPException。,06-handling-errors.md; 06-handling-errors.md,764139df-801a-4cfd-bd1d-f9c199f515cd; c51dffad-9200-490e-9cb7-0307f6da3034,deepseek-v4-flash,3704,1338.595,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:21:12.238Z,
errors-08,想在保留 FastAPI 默认异常输出的前提下增加日志，应怎样复用默认逻辑？,在自定义处理器中调用并复用 FastAPI 的异常处理函数。,我无法根据当前检索到的资料生成带有效引用的回答。,,,retrieval-guard,0,1359.456,retrieval_guard_invalid_citation,approved,human,not_applicable,not_applicable,fail,reviewer-cen,2026-07-15T07:21:15.471Z,
testing-01,测试 FastAPI 接口时，官方教程使用哪个客户端类模拟 HTTP 请求？,使用 TestClient。,TestClient,07-testing.md; 07-testing.md; 07-testing.md,d8a903f9-a532-4c10-8025-e1286b346dd2; 2cf6f118-bb01-461c-833b-a83c488f506b; 4115ae9a-32e3-4c5b-a4b2-f23e6ef4b556,deepseek-v4-flash,2968,1316.219,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:21:19.305Z,
testing-02,即使应用路由是 async def，使用 TestClient 的测试函数是否必须 async？,不必须，测试函数可以是普通 def。,不需要，即使应用路由是 async def，使用 TestClient 的测试函数也可以是普通 def 而非 async def。,07-testing.md,2cf6f118-bb01-461c-833b-a83c488f506b,deepseek-v4-flash,2494,1295.822,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:21:28.055Z,
testing-03,TestClient 背后使用的 HTTP 客户端库是什么？,HTTPX。,HTTPX,07-testing.md; 07-testing.md,d8a903f9-a532-4c10-8025-e1286b346dd2; 2cf6f118-bb01-461c-833b-a83c488f506b,deepseek-v4-flash,2394,1219.514,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:21:33.622Z,
testing-04,官方最小测试示例如何验证根路径返回成功？,发送 client.get 请求并断言状态码和 JSON 内容。,我无法根据当前检索到的资料生成带有效引用的回答。,,,retrieval-guard,0,1282.802,retrieval_guard_invalid_citation,approved,human,not_applicable,not_applicable,fail,reviewer-cen,2026-07-15T07:21:37.788Z,
testing-05,项目规模变大后，文档建议怎样组织 app 文件和测试文件？,把应用和测试分别放在独立文件或包中。,将 app 文件放在 app 包中，测试文件放在同一包内，例如 app/main.py 和 app/test_main.py。,07-testing.md; 07-testing.md,e085c07a-935b-48af-93a2-13c48f5058b8; b2647851-1b10-4c21-aa8b-c3c00f1e5562,deepseek-v4-flash,3937,1335.535,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:21:52.855Z,
testing-06,运行 FastAPI 的 pytest 测试前，官方示例要求先安装哪个测试框架？,安装 pytest。,httpx,07-testing.md,d8a903f9-a532-4c10-8025-e1286b346dd2,deepseek-v4-flash,3700,1321.131,answered,approved,human,fail,pass,not_applicable,reviewer-cen,2026-07-15T07:22:13.505Z,
testing-07,用 TestClient 发请求时，为什么不需要先启动独立的 Uvicorn 服务？,TestClient 可直接在测试进程中调用 ASGI 应用。,因为 TestClient 直接在进程中模拟 HTTP 请求，无需启动独立的 Uvicorn 服务器。,07-testing.md; 07-testing.md,d8a903f9-a532-4c10-8025-e1286b346dd2; 2cf6f118-bb01-461c-833b-a83c488f506b,deepseek-v4-flash,5520,1357.097,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:22:47.623Z,
testing-08,测试扩展示例中，怎样确认特定路径返回预期 JSON？,对 client 请求的 response.json() 做断言。,在测试文件中，使用httpx客户端发送请求，并通过断言响应状态码和JSON内容来确认特定路径返回预期的JSON。,07-testing.md; 05-response-model.md,41c6ee50-1fba-4a68-9c22-860c2cef5638; ea58ee44-e68c-403f-b05b-edfd1f47c97c,deepseek-v4-flash,5059,1259.949,answered,approved,human,pass,fail,not_applicable,reviewer-cen,2026-07-15T07:23:25.156Z,
sql-01,FastAPI 是否强制开发者选用关系型数据库？,不强制，可使用任意合适的数据库或库。,不，FastAPI 不强制使用关系型数据库。,08-sql-databases.md; 08-sql-databases.md; 04-dependencies.md,84af8622-8783-42b7-be49-441cb0bdacdb; 48fb4e84-7371-4380-9fbe-f2c726c62717; 1d730825-40f6-4dff-b14d-83f4d10aeff4,deepseek-v4-flash,3030,1299.335,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:23:36.789Z,
sql-02,官方关系型数据库教程为何选择 SQLModel 展示示例？,SQLModel 建立在 SQLAlchemy 和 Pydantic 之上，适合教程中的组合。,因为SQLModel是由FastAPI的同一作者开发的，它基于SQLAlchemy和Pydantic，能很好地与FastAPI配合，简化使用SQL数据库的代码。,08-sql-databases.md; 08-sql-databases.md,84af8622-8783-42b7-be49-441cb0bdacdb; d3a42b37-245d-4b4a-8c32-e7ac95a87e33,deepseek-v4-flash,4286,1230.911,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:23:51.339Z,
sql-03,教程中的最小可运行数据库示例为什么选 SQLite？,SQLite 是单文件数据库且 Python 内置支持，便于直接运行示例。,"Because SQLite uses a single file and Python has integrated support, allowing the example to be copied and run as is.",08-sql-databases.md,48fb4e84-7371-4380-9fbe-f2c726c62717,deepseek-v4-flash,2608,1229.666,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:24:01.023Z,
sql-04,在 SQLite 示例创建 engine 时，check_same_thread=False 是为解决什么使用场景？,允许测试和请求处理中跨线程使用 SQLite 连接。,解决同一个SQLite数据库在多个线程中被访问的问题，因为FastAPI的一个请求可能使用多个线程。,08-sql-databases.md,3081c970-c3b7-4b47-8722-fadc1546a0cc,deepseek-v4-flash,4651,1311.418,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:24:11.140Z,
sql-05,怎样把数据库 session 作为每个请求可用、请求结束后关闭的资源？,定义 yield 出 session 的依赖，并通过 Depends 注入。,使用 FastAPI 的依赖项（dependency）配合 yield 来创建每个请求的数据库 session，并在请求结束后自动关闭。,08-sql-databases.md; 08-sql-databases.md,05ae04a6-3e72-488f-bd4b-143eca9a7934; 869b0a5a-4f8a-41ec-8e8a-09f12013d649,deepseek-v4-flash,2819,1477.6,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:24:33.556Z,
sql-06,示例在哪个生命周期阶段创建数据库表？,在应用启动事件中创建表。,应用程序启动阶段,08-sql-databases.md,bea421ae-08be-40d5-a71e-29f61e2c5ae5,deepseek-v4-flash,2212,1295.842,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:24:40.374Z,
sql-07,为什么 Hero、HeroCreate 和 HeroPublic 需要拆成不同模型？,分别表达表结构、创建输入和公开输出，避免不该暴露或可写的字段混用。,为了分离输入、输出和数据库模型，实现数据安全与类型安全。HeroCreate用于接收客户端数据（含secret_name），HeroPublic用于返回给客户端（不含secret_name，保护隐私），Hero是完整的数据库模型（含所有字段）。,08-sql-databases.md; 08-sql-databases.md; 08-sql-databases.md,373742b4-dc4f-4a57-9208-44aad114af54; d9c6053e-b7dd-4846-9bd9-fc02bd94beb4; bc2d0379-d6fd-4ccb-9bb7-d6988a091786,deepseek-v4-flash,4837,1504.062,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:24:50.657Z,
sql-08,更新英雄记录时，怎样避免未提交字段覆盖数据库已有值？,从更新模型导出时排除未设置字段，再应用更新。,我无法根据当前检索到的资料生成带有效引用的回答。,,,retrieval-guard,0,1557.915,retrieval_guard_invalid_citation,approved,human,not_applicable,not_applicable,fail,reviewer-cen,2026-07-15T07:24:55.440Z,
jwt-01,JWT 中保存的内容默认是加密的吗？,不是，JWT 可被读取，签名用于验证完整性而非隐藏内容。,我无法根据当前检索到的资料生成带有效引用的回答。,,,retrieval-guard,0,1413.294,retrieval_guard_invalid_citation,approved,human,not_applicable,not_applicable,fail,reviewer-cen,2026-07-15T07:24:58.990Z,
