case_id,question,reference_answer,expected_filenames,review_status,question_verdict,reference_answer_verdict,source_label_verdict,reviewer_alias,reviewed_at_utc,notes
errors-07,FastAPI 的 HTTPException 和 Starlette 的 HTTPException 在异常处理器中该优先考虑哪一个？,处理器通常应针对 Starlette 的 HTTPException，以覆盖 Starlette 产生的错误。,06-handling-errors.md,pending,,,,,,
errors-08,想在保留 FastAPI 默认异常输出的前提下增加日志，应怎样复用默认逻辑？,在自定义处理器中调用并复用 FastAPI 的异常处理函数。,06-handling-errors.md,pending,,,,,,
testing-01,测试 FastAPI 接口时，官方教程使用哪个客户端类模拟 HTTP 请求？,使用 TestClient。,07-testing.md,pending,,,,,,
testing-02,即使应用路由是 async def，使用 TestClient 的测试函数是否必须 async？,不必须，测试函数可以是普通 def。,07-testing.md,pending,,,,,,
testing-03,TestClient 背后使用的 HTTP 客户端库是什么？,HTTPX。,07-testing.md,pending,,,,,,
testing-04,官方最小测试示例如何验证根路径返回成功？,发送 client.get 请求并断言状态码和 JSON 内容。,07-testing.md,pending,,,,,,
testing-05,项目规模变大后，文档建议怎样组织 app 文件和测试文件？,把应用和测试分别放在独立文件或包中。,07-testing.md,pending,,,,,,
testing-06,运行 FastAPI 的 pytest 测试前，官方示例要求先安装哪个测试框架？,安装 pytest。,07-testing.md,pending,,,,,,
testing-07,用 TestClient 发请求时，为什么不需要先启动独立的 Uvicorn 服务？,TestClient 可直接在测试进程中调用 ASGI 应用。,07-testing.md,pending,,,,,,
testing-08,测试扩展示例中，怎样确认特定路径返回预期 JSON？,对 client 请求的 response.json() 做断言。,07-testing.md,pending,,,,,,
sql-01,FastAPI 是否强制开发者选用关系型数据库？,不强制，可使用任意合适的数据库或库。,08-sql-databases.md,pending,,,,,,
sql-02,官方关系型数据库教程为何选择 SQLModel 展示示例？,SQLModel 建立在 SQLAlchemy 和 Pydantic 之上，适合教程中的组合。,08-sql-databases.md,pending,,,,,,
sql-03,教程中的最小可运行数据库示例为什么选 SQLite？,SQLite 是单文件数据库且 Python 内置支持，便于直接运行示例。,08-sql-databases.md,pending,,,,,,
sql-04,在 SQLite 示例创建 engine 时，check_same_thread=False 是为解决什么使用场景？,允许测试和请求处理中跨线程使用 SQLite 连接。,08-sql-databases.md,pending,,,,,,
sql-05,怎样把数据库 session 作为每个请求可用、请求结束后关闭的资源？,定义 yield 出 session 的依赖，并通过 Depends 注入。,08-sql-databases.md,pending,,,,,,
sql-06,示例在哪个生命周期阶段创建数据库表？,在应用启动事件中创建表。,08-sql-databases.md,pending,,,,,,
sql-07,为什么 Hero、HeroCreate 和 HeroPublic 需要拆成不同模型？,分别表达表结构、创建输入和公开输出，避免不该暴露或可写的字段混用。,08-sql-databases.md,pending,,,,,,
sql-08,更新英雄记录时，怎样避免未提交字段覆盖数据库已有值？,从更新模型导出时排除未设置字段，再应用更新。,08-sql-databases.md,pending,,,,,,
jwt-01,JWT 中保存的内容默认是加密的吗？,不是，JWT 可被读取，签名用于验证完整性而非隐藏内容。,09-oauth2-jwt.md,pending,,,,,,
jwt-02,为什么用户密码不能直接保存原文，即使数据库只在内部使用？,泄露后原文密码会直接暴露；应保存可验证的密码哈希。,09-oauth2-jwt.md,pending,,,,,,
jwt-03,官方教程推荐用什么库和算法方案处理密码哈希？,使用 pwdlib，并采用推荐的 Argon2 哈希方案。,09-oauth2-jwt.md,pending,,,,,,
jwt-04,认证时验证密码的正确顺序是什么？,先根据用户名查找用户，再用密码哈希验证函数比对输入密码。,09-oauth2-jwt.md,pending,,,,,,
jwt-05,OAuth2 密码流程的 /token 端点接收用户名和密码时，使用 JSON 还是表单编码？,使用表单数据。,09-oauth2-jwt.md,pending,,,,,,
jwt-06,JWT 的 sub 声明在示例中存放什么信息，并要求什么类型？,存放主体标识如用户名，并应是字符串。,09-oauth2-jwt.md,pending,,,,,,
jwt-07,访问受保护接口却没有有效 token 时，示例如何让客户端知道需要认证？,抛出 401 HTTPException，并设置 WWW-Authenticate: Bearer 响应头。,09-oauth2-jwt.md,pending,,,,,,
jwt-08,需要基于权限范围限制不同操作时，OAuth2 JWT 教程把哪项能力作为高级用法？,使用 OAuth2 scopes。,09-oauth2-jwt.md,pending,,,,,,
